_id,lid,place_id,label
549,10,222,Exhibition
550,1,223,Priory
551,1,224,Garden
552,2,224,Café
553,1,225,Garden
554,2,225,Car park
555,3,225,Parkland
556,4,225,Café
557,5,225,Watermill
558,1,226,Sugarloaf and Usk Valley
559,1,228,Garden
560,2,228,Countryside
561,3,228,Shop
562,4,228,Manor house
563,1,227,Middle Littleton Tithe Barn
564,1,230,Countryside
565,1,229,Countryside
566,1,232,House
567,2,232,Car Park
568,3,232,Garden
569,4,232,Kitchen garden
570,5,232,Wider estate
571,6,232,Tea-room
572,7,232,Carriage Museum 
573,1,233,Abergwesyn Common
574,1,234,House
575,2,234,Garden
576,3,234,Park
577,4,234,Tea-room
578,1,235,Car Park
579,2,235,Garden
580,3,235,House
581,4,235,Museum 
582,1,236,Hall
583,2,236,Garden
584,3,236,Park
585,4,236,Home Farm
586,5,236,Farm Café
587,6,236,Old Rectory Restaurant
588,7,236,Stable Café
589,8,236,Shop
590,9,236,Visitor Welcome
591,1,239,Rievaulx Terrace
592,1,237,Countryside
593,1,238,Countryside
594,1,240,House
595,2,240,Café
596,3,240,Gardens
597,4,240,Parkland
598,5,240,Welcome Point & Plant Shop
599,6,240,Porter's Lodge Outdoor Café
600,7,240,Shop
601,8,240,Cycle Hire
602,1,241,Countryside
603,1,243,Garden
604,1,245,Lanlay
605,1,244,House
606,2,244,Garden
607,1,246,Countryside
608,1,247,Countryside
609,1,248,Countryside
610,1,249,Gardens & Medieval Hall
611,2,249,Cafe
612,1,250,Countryside
613,2,250,Car park
614,1,251,Cliffs
615,1,252,House
616,2,252,Café
617,3,252,Car Park
618,4,252,Estate
619,5,252,Woodland
620,6,252,Shop
621,7,252,Walled garden
622,1,253,Countryside
623,1,254,House
624,2,254,Garden
625,3,254,Shop
626,1,257,Lyveden 
627,1,256,Mr Straw's House
628,1,258,Countryside
629,1,259,Countryside
630,1,260,House
631,2,260,Garden
632,3,260,Tea-room
633,1,261,Countryside
634,1,262,Garden
635,1,263,Castlefield Viaduct
636,1,264,Tithe Barn
637,1,265,House
638,2,265,Garden
639,1,266,Countryside
640,2,266,Tern Café 
641,1,267,Garden
642,2,267,Mansion
643,3,267,Millennium Seed Bank
644,4,267,Seeds Café
645,5,267,Shop
646,6,267,Stables Kitchen
647,1,269,Countryside
648,1,268,Countryside
649,1,270,House
650,2,270,Garden
651,3,270,Shop
652,4,270,Tea-room
653,1,271,Garden
654,2,271,Shop
655,3,271,Tea-room
656,1,272,Countryside
657,1,275,Garden
658,2,275,Café
659,3,275,Car Park
660,4,275,House
661,5,275,Plant centre
662,6,275,Second-hand bookshop
663,7,275,Shop
664,8,275,Woods
665,9,275,Gallery
666,10,275,Kiosk
667,11,275,Riding House
668,1,276,Countryside
669,1,274,Houses
670,1,277,Castle
671,2,277,Entrance point
672,3,277,Garden
673,4,277,Parkland
674,5,277,Tenants' Hall pop-up café
675,6,277,Shop
676,7,277,Camellia House
677,8,277,Watermill
678,9,277,Watermill tea-room 
679,1,278,Beach
680,2,278,Car Park
681,3,278,Toilet
682,1,279,Hall and Galleries 
683,2,279,Garden
684,3,279,Restaurant / Brew House
685,4,279,Shop
686,1,281,House
687,2,281,Garden
688,1,282,Chapel
689,2,282,Garden
690,1,284,Museum
691,1,285,Countryside
692,1,287,Countryside
693,1,290,Nature reserve
694,2,290,Lifeboat House (Blakeney Point)
695,1,288,East Pool Mine
696,2,288,Michell's Engine House
697,3,288,Taylor's Engine House
698,1,289,Countryside
699,1,291,Tranmer House & Exhibition Hall
700,2,291,Café 
701,3,291,Shop
702,4,291,Estate walks
703,5,291,Keepers' Café 
704,6,291,Bookshop
705,7,291,Tower
706,1,292,House
707,2,292,Garden
708,3,292,Café
709,1,293,Countryside
710,1,294,Lorna Doone Valley
711,2,294,Shop
712,3,294,Tea-room
713,4,294,Car park
714,5,294,Toilets
715,1,296,House
716,2,296,Garden
717,3,296,Park
718,4,296,Stables Restaurant
719,5,296,Muddy Boots Café
720,6,296,Shop
721,7,296,Bookshop
722,8,296,"Woodgate, Bucks Common & Fisherman's car parks"
723,9,296,Cycle hire
724,1,295,Stone Circle
725,2,295,Alexander Keiller Museum
726,3,295,Avebury Manor house
727,4,295,Avebury Manor garden
728,5,295,National Trust shop
729,6,295,Cobblestones second-hand books
730,7,295,Circles Restaurant
731,1,297,Mansion
732,2,297,Garden
733,3,297,Grounds
734,4,297,Second-hand bookshop
735,5,297,Shop
736,6,297,Stableyard tea-room
737,1,298,House and garden
738,1,300,Countryside
739,1,299,Countryside
740,1,301,Parkland
741,2,301,Newton House
742,3,301,Dinefwr Castle
743,4,301,Café
744,5,301,Car Park
745,6,301,Deer-park
746,1,302,Parkland
747,2,302,Car Park
748,3,302,Garden centre
749,4,302,Potting Shed Café
750,5,302,Rose garden
751,6,302,Second-hand bookshop
752,7,302,Stableyard café
753,1,305,House
754,2,305,Car park
755,3,305,Grounds
756,4,305,Second-hand bookshop
757,5,305,Takeaway kiosk
758,1,304,House
759,2,304,Tea-room
760,3,304,Garden
761,1,307,House
762,2,307,Calke Park National Nature Reserve
763,3,307,Garden
764,4,307,Restaurant
765,5,307,Shop
766,6,307,Stables
767,7,307,Cycle Hire
768,1,306,Market House
769,1,308,Countryside
770,1,309,Garden
771,2,309,Car Park
772,1,310,Countryside
773,1,312,Parkland
774,2,312,Garden
775,3,312,House
776,4,312,Tea-room
777,5,312,Shop
778,6,312,Second-hand bookshop
779,7,312,Exhibition space
780,8,312,Basement
781,1,311,Countryside
782,1,313,Countryside
783,1,314,House
784,2,314,Garden
785,3,314,Park
786,4,314,Stables café
787,5,314,Tea-room
788,1,315,Countryside
789,1,316,House
790,2,316,Car Park
791,3,316,Garden
792,1,318,House
793,1,317,Countryside
794,1,319,Castle
795,2,319,What a World Exhibition
796,3,319,Garden
797,4,319,Shop
798,5,319,Castle Cafe
799,6,319,Railway Museum
800,7,319,Victorian kitchens
801,8,319,Stable Cafe Kiosk
802,1,320,Countryside
803,1,323,Coleridge Cottage
804,1,321,Countryside
805,1,322,Melford Hall
806,2,322,Garden
807,3,322,Tea-room
808,1,325,Compton Castle
809,1,326,Full lake / Walkers cruise
810,2,326,North Lake Cruise
811,3,326,South Lake Cruise
812,4,326,South Lake Cruise 2’ 
813,1,324,Manor house
814,2,324,Coffee shop
815,3,324,Garden
816,4,324,Science Discovery Centre
817,5,324,Gift Shop
818,1,328,Newtimber Hill
819,1,329,Countryside
820,2,329,Car park
821,1,330,Stainsby Mill
822,1,332,Coastline
823,1,331,Countryside
824,2,331,Walker's Hut
825,1,333,House
826,2,333,Café
827,3,333,Grounds
828,4,333,Bookshop
829,1,334,Watermill
830,2,334,Grounds
831,1,336,Countryside
832,1,335,Lydford Gorge trail
833,2,335,Waterfall car park
834,3,335,Waterfall trail
835,4,335,Waterfall tea-room 
836,5,335,Devil's Cauldron car park
837,6,335,Devil’s Cauldron trail
838,7,335,Devil's Cauldron tea-room
839,8,335,Second-hand bookshop
840,1,337,Garden
841,2,337,Café 
842,3,337,Park
843,4,337,Parlour Rooms and Bookshop
844,5,337,Shop
845,1,338,Countryside
846,1,339,Garden
847,2,339,Winthrop's Café
848,3,339,Shop
849,4,339,Barn Café
850,5,339,Plant sales
851,6,339,Second-hand bookshop
852,1,340,House
853,2,340,Park
854,3,340,Pleasure Grounds
855,4,340,Restaurant
856,5,340,Shop
857,1,341,Countryside
858,1,342,Monksthorpe Chapel
859,2,342,Grounds
860,1,344,Birmingham Back to Backs
861,2,344,Second-hand bookshop
862,3,344,Exhibition space
863,1,343,Countryside
864,1,346,Castle
865,2,346,Clive Museum
866,3,346,Garden
867,4,346,Garden coffee shop
868,5,346,Courtyard Café
869,6,346,Shop
870,7,346,Garden shop
871,1,348,House
872,2,348,House (Guided tour)
873,1,349,Castle
874,2,349,Garden
875,3,349,Shop
876,1,350,Countryside
877,2,350,Car Park Upper
878,3,350,Car Park Lower
879,4,350,Barn Cafe
880,5,350,Toilets
881,1,353,Beach
882,2,353,Car Park
883,3,353,Café
884,4,353,Shop
885,1,352,Car Park
886,2,352,Grounds
887,3,352,West Range
888,4,352,Visitor centre
889,5,352,Museum
890,6,352,Café 
891,7,352,Shop
892,1,354,Brecon Beacons (Central)
893,1,355,Countryside
894,1,357,Car park
895,2,357,Café 
896,3,357,Toilet
897,4,357,Shop
898,5,357,Fan Bay Deep Shelter
899,1,356,Countryside
900,1,358,Clifftop walks
901,2,358,Shop
902,3,358,Tea-room
903,1,359,Outdoor Centre campsite
904,2,359,Countryside
905,3,359,Villano Café
906,1,360,Mausoleum
907,2,360,South Lodge Barn
908,3,360,Woodland
909,1,361,Countryside
910,1,363,House
911,2,363,Café
912,3,363,Estate
913,4,363,Exhibition
914,5,363,Garden
915,6,363,Shop
916,1,364,House
917,2,364,Galleries
918,3,364,Garden
919,4,364,Park
920,5,364,Second-hand bookshop
921,6,364,Tea-room
922,7,364,Comer Wood car park 
923,8,364,Café in Comer Woods
924,9,364,Old Sawmill car park
925,10,364,Hampton Loade car park
926,1,365,Clevedon Court
927,1,369,Countryside
