_id,place_id,image_id,version,image_index
284,182,production/182_5,1421768078,2
285,182,production/182_1,1421768070,3
286,182,production/182_6,1421768059,4
287,182,production/182_4,1421768036,5
288,185,production/185_2,1557746603,0
289,185,production/185_1,1557746596,1
290,185,production/185_3,1557746596,2
291,185,production/185_4,1557746595,3
292,185,production/185_5,1557746595,4
293,186,production/186_1,1418483997,0
294,187,production/187_2,1457108274,0
295,187,production/187_1,1418388662,1
296,187,production/187_3,1418388694,2
297,188,production/188_1,1418388675,0
298,189,production/189_3,1649251461,0
299,189,production/189_2,1649251459,1
300,189,production/189_1,1649251457,2
301,189,production/189_4,1649251457,3
302,189,production/189_5,1649251457,4
303,189,production/189_6,1649251456,5
304,19,production/19_1,1433411151,0
305,19,production/19_5,1418674495,1
306,19,production/19_4,1418674488,2
307,19,production/19_3,1418674482,3
308,19,production/19_2,1418674437,4
309,190,production/190_1,1450196475,0
310,191,production/191_3,1422359374,0
311,191,production/191_1,1422359370,1
312,191,production/191_4,1422359355,2
313,191,production/191_2,1422359345,3
314,192,production/192_7,1535621273,0
315,192,production/192_4,1535621236,1
316,192,production/192_6,1535621204,2
317,192,production/192_5,1535621187,3
318,192,production/192_2,1535621187,4
319,192,production/192_11,1535621136,5
320,192,production/192_3,1535621131,6
321,192,production/192_8,1426523163,7
322,193,production/193_1,1421771594,0
323,193,production/193_4,1421771613,1
324,193,production/193_5,1421771634,2
325,193,production/193_2,1421771669,3
326,193,production/193_3,1421771673,4
327,195,production/195_1,1421774024,0
328,196,production/196_1,1422224529,0
329,197,production/197_4,1419001685,0
330,197,production/197_3,1419001683,1
331,197,production/197_2,1419001683,2
332,197,production/197_1,1419001682,3
333,197,production/197_5,1419001678,4
334,198,production/198_4,1418679942,0
335,198,production/198_2,1418679939,1
336,198,production/198_6,1418679885,2
337,198,production/198_5,1418679854,3
338,198,production/198_3,1418679841,4
339,198,production/198_1,1418679819,5
340,199,production/199_1,1422265586,0
341,2,production/2_2,1417787843,0
342,2,production/2_1,1417787854,1
343,2,production/2_3,1417787860,2
344,200,production/200_1,1418484009,0
345,201,production/201_1,1418679898,0
346,201,production/201_3,1418679905,1
347,201,production/201_2,1418679969,2
348,202,production/202_4,1559227022,0
349,202,production/202_3,1559227021,1
350,202,production/202_2,1559227022,2
351,202,production/202_1,1559227021,3
352,202,production/202_5,1559227020,4
353,204,production/204_1,1422359493,0
354,206,production/206_2,1418487661,0
355,206,production/206_4,1418487737,1
356,206,production/206_3,1418487638,2
357,206,production/206_5,1418487709,3
358,206,production/206_1,1418487696,4
359,207,production/207_1,1418679950,0
360,208,production/208_6,1573129388,0
361,208,production/208_2,1573046180,1
362,208,production/208_1,1573046165,2
363,208,production/208_3,1573046163,3
